symbol,security,esgScores
CI,Cigna,"{'maxAge': 86400, 'totalEsg': {'raw': 11.65, 'fmt': '11.6'}, 'environmentScore': {'raw': 0.02, 'fmt': '0.0'}, 'socialScore': {'raw': 5.99, 'fmt': '6.0'}, 'governanceScore': {'raw': 5.65, 'fmt': '5.7'}, 'ratingYear': 2021, 'ratingMonth': 3, 'highestControversy': 2.0, 'peerCount': 61, 'esgPerformance': 'UNDER_PERF', 'peerGroup': 'Healthcare', 'relatedControversy': ['Employee Incidents', 'Customer Incidents', 'Society & Community Incidents', 'Business Ethics Incidents'], 'peerEsgScorePerformance': {'min': 11.65, 'avg': 23.226885245901634, 'max': 35.37}, 'peerGovernancePerformance': {'min': 4.44, 'avg': 8.308852459016395, 'max': 12.41}, 'peerSocialPerformance': {'min': 5.37, 'avg': 12.442622950819668, 'max': 22.18}, 'peerEnvironmentPerformance': {'min': 0.02, 'avg': 2.4749180327868845, 'max': 5.93}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.9836065573770492, 'max': 4.0}, 'percentile': {'raw': 2.83, 'fmt': '3'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
CINF,Cincinnati Financial,"{'maxAge': 86400, 'totalEsg': {'raw': 25.62, 'fmt': '25.6'}, 'environmentScore': {'raw': 1.82, 'fmt': '1.8'}, 'socialScore': {'raw': 10.97, 'fmt': '11.0'}, 'governanceScore': {'raw': 12.83, 'fmt': '12.8'}, 'ratingYear': 2023, 'ratingMonth': 1, 'highestControversy': 1.0, 'peerCount': 72, 'esgPerformance': 'AVG_PERF', 'peerGroup': 'Insurance', 'relatedControversy': ['Product & Service Incidents', 'Customer Incidents', 'Society & Community Incidents'], 'peerEsgScorePerformance': {'min': 10.69, 'avg': 21.8876388888889, 'max': 44.52}, 'peerGovernancePerformance': {'min': 6.03, 'avg': 10.791884057971016, 'max': 16.51}, 'peerSocialPerformance': {'min': 3.98, 'avg': 9.172318840579711, 'max': 13.75}, 'peerEnvironmentPerformance': {'min': 0.07, 'avg': 1.4947826086956528, 'max': 3.16}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.3611111111111112, 'max': 4.0}, 'percentile': {'raw': 47.44, 'fmt': '47'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
CTAS,Cintas,"{'maxAge': 86400, 'totalEsg': {'raw': 18.25, 'fmt': '18.3'}, 'environmentScore': {'raw': 3.21, 'fmt': '3.2'}, 'socialScore': {'raw': 9.17, 'fmt': '9.2'}, 'governanceScore': {'raw': 5.88, 'fmt': '5.9'}, 'ratingYear': 2023, 'ratingMonth': 1, 'highestControversy': 2.0, 'peerCount': 29, 'esgPerformance': 'UNDER_PERF', 'peerGroup': 'Commercial Services', 'relatedControversy': ['Employee Incidents'], 'peerEsgScorePerformance': {'min': 7.15, 'avg': 16.29137931034483, 'max': 25.76}, 'peerGovernancePerformance': {'min': 2.91, 'avg': 5.066785714285714, 'max': 8.17}, 'peerSocialPerformance': {'min': 1.57, 'avg': 8.7475, 'max': 18.63}, 'peerEnvironmentPerformance': {'min': 0.01, 'avg': 2.409642857142857, 'max': 15.12}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.4137931034482758, 'max': 4.0}, 'percentile': {'raw': 20.04, 'fmt': '20'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
CSCO,Cisco,"{'maxAge': 86400, 'totalEsg': {'raw': 12.07, 'fmt': '12.1'}, 'environmentScore': {'raw': 0.03, 'fmt': '0.0'}, 'socialScore': {'raw': 5.59, 'fmt': '5.6'}, 'governanceScore': {'raw': 6.45, 'fmt': '6.4'}, 'ratingYear': 2022, 'ratingMonth': 8, 'highestControversy': 2.0, 'peerCount': 55, 'esgPerformance': 'UNDER_PERF', 'peerGroup': 'Technology Hardware', 'relatedControversy': ['Social Supply Chain Incidents', 'Customer Incidents', 'Society & Community Incidents', 'Business Ethics Incidents'], 'peerEsgScorePerformance': {'min': 5.97, 'avg': 16.164727272727273, 'max': 25.7}, 'peerGovernancePerformance': {'min': 3.45, 'avg': 7.1781481481481455, 'max': 11.5}, 'peerSocialPerformance': {'min': 2.24, 'avg': 6.082037037037039, 'max': 12.55}, 'peerEnvironmentPerformance': {'min': 0.03, 'avg': 3.093703703703704, 'max': 8.67}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.5454545454545454, 'max': 4.0}, 'percentile': {'raw': 4.7, 'fmt': '5'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
C,Citigroup,"{'maxAge': 86400, 'totalEsg': {'raw': 26.68, 'fmt': '26.7'}, 'environmentScore': {'raw': 1.75, 'fmt': '1.8'}, 'socialScore': {'raw': 13.11, 'fmt': '13.1'}, 'governanceScore': {'raw': 11.82, 'fmt': '11.8'}, 'ratingYear': 2022, 'ratingMonth': 8, 'highestControversy': 4.0, 'peerCount': 172, 'esgPerformance': 'AVG_PERF', 'peerGroup': 'Banks', 'relatedControversy': ['Business Ethics Incidents'], 'peerEsgScorePerformance': {'min': 11.06, 'avg': 24.496744186046502, 'max': 44.12}, 'peerGovernancePerformance': {'min': 5.78, 'avg': 11.514666666666669, 'max': 19.55}, 'peerSocialPerformance': {'min': 3.82, 'avg': 10.846727272727275, 'max': 21.64}, 'peerEnvironmentPerformance': {'min': 0.14, 'avg': 1.6380606060606056, 'max': 3.5}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 2.1627906976744184, 'max': 5.0}, 'percentile': {'raw': 50.69, 'fmt': '51'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
CFG,Citizens Financial Group,"{'maxAge': 86400, 'totalEsg': {'raw': 23.46, 'fmt': '23.5'}, 'environmentScore': {'raw': 1.96, 'fmt': '2.0'}, 'socialScore': {'raw': 10.15, 'fmt': '10.1'}, 'governanceScore': {'raw': 11.35, 'fmt': '11.4'}, 'ratingYear': 2023, 'ratingMonth': 1, 'highestControversy': 2.0, 'peerCount': 107, 'esgPerformance': 'AVG_PERF', 'peerGroup': 'Banks', 'relatedControversy': ['Customer Incidents'], 'peerEsgScorePerformance': {'min': 11.06, 'avg': 23.864018691588782, 'max': 44.12}, 'peerGovernancePerformance': {'min': 5.71, 'avg': 11.464285714285719, 'max': 19.41}, 'peerSocialPerformance': {'min': 3.82, 'avg': 9.882346938775513, 'max': 21.27}, 'peerEnvironmentPerformance': {'min': 0.14, 'avg': 1.7023469387755101, 'max': 3.5}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.897196261682243, 'max': 4.0}, 'percentile': {'raw': 38.62, 'fmt': '39'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
CLX,Clorox,"{'maxAge': 86400, 'totalEsg': {'raw': 21.14, 'fmt': '21.1'}, 'environmentScore': {'raw': 6.33, 'fmt': '6.3'}, 'socialScore': {'raw': 9.2, 'fmt': '9.2'}, 'governanceScore': {'raw': 5.61, 'fmt': '5.6'}, 'ratingYear': 2023, 'ratingMonth': 1, 'highestControversy': 2.0, 'peerCount': 17, 'esgPerformance': 'AVG_PERF', 'peerGroup': 'Household Products', 'relatedControversy': ['Customer Incidents'], 'peerEsgScorePerformance': {'min': 18.42, 'avg': 26.845882352941175, 'max': 35.22}, 'peerGovernancePerformance': {'min': 5.5, 'avg': 7.825882352941176, 'max': 9.97}, 'peerSocialPerformance': {'min': 6.37, 'avg': 9.491176470588234, 'max': 13.15}, 'peerEnvironmentPerformance': {'min': 6.33, 'avg': 9.529411764705882, 'max': 12.52}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.411764705882353, 'max': 2.0}, 'percentile': {'raw': 29.73, 'fmt': '30'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': True, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
CME,CME Group,"{'maxAge': 86400, 'totalEsg': {'raw': 14.59, 'fmt': '14.6'}, 'environmentScore': {'raw': 2.13, 'fmt': '2.1'}, 'socialScore': {'raw': 6.21, 'fmt': '6.2'}, 'governanceScore': {'raw': 6.24, 'fmt': '6.2'}, 'ratingYear': 2022, 'ratingMonth': 8, 'highestControversy': 1.0, 'peerCount': 86, 'esgPerformance': 'UNDER_PERF', 'peerGroup': 'Diversified Financials', 'relatedControversy': ['Business Ethics Incidents', 'Governance Incidents'], 'peerEsgScorePerformance': {'min': 8.16, 'avg': 19.482906976744182, 'max': 36.83}, 'peerGovernancePerformance': {'min': 5.03, 'avg': 9.919166666666666, 'max': 19.3}, 'peerSocialPerformance': {'min': 1.62, 'avg': 8.123333333333331, 'max': 16.34}, 'peerEnvironmentPerformance': {'min': 0.0, 'avg': 1.2188095238095233, 'max': 3.1}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.569767441860465, 'max': 4.0}, 'percentile': {'raw': 9.27, 'fmt': '9'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
CMS,CMS Energy,"{'maxAge': 86400, 'totalEsg': {'raw': 21.29, 'fmt': '21.3'}, 'environmentScore': {'raw': 9.8, 'fmt': '9.8'}, 'socialScore': {'raw': 5.78, 'fmt': '5.8'}, 'governanceScore': {'raw': 5.7, 'fmt': '5.7'}, 'ratingYear': 2023, 'ratingMonth': 1, 'highestControversy': 2.0, 'peerCount': 91, 'esgPerformance': 'AVG_PERF', 'peerGroup': 'Utilities', 'relatedControversy': ['Customer Incidents'], 'peerEsgScorePerformance': {'min': 8.44, 'avg': 29.322527472527483, 'max': 69.69}, 'peerGovernancePerformance': {'min': 3.36, 'avg': 6.387906976744186, 'max': 9.93}, 'peerSocialPerformance': {'min': 2.71, 'avg': 10.069767441860462, 'max': 34.78}, 'peerEnvironmentPerformance': {'min': 1.27, 'avg': 12.562209302325577, 'max': 28.57}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.6373626373626373, 'max': 5.0}, 'percentile': {'raw': 30.37, 'fmt': '30'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
KO,Coca-Cola Company (The),"{'maxAge': 86400, 'totalEsg': {'raw': 22.56, 'fmt': '22.6'}, 'environmentScore': {'raw': 7.88, 'fmt': '7.9'}, 'socialScore': {'raw': 9.72, 'fmt': '9.7'}, 'governanceScore': {'raw': 4.95, 'fmt': '4.9'}, 'ratingYear': 2022, 'ratingMonth': 8, 'highestControversy': 3.0, 'peerCount': 88, 'esgPerformance': 'AVG_PERF', 'peerGroup': 'Food Products', 'relatedControversy': ['Operations Incidents', 'Employee Incidents', 'Society & Community Incidents', 'Business Ethics Incidents'], 'peerEsgScorePerformance': {'min': 13.55, 'avg': 27.763636363636376, 'max': 48.96}, 'peerGovernancePerformance': {'min': 3.88, 'avg': 6.332840909090908, 'max': 11.73}, 'peerSocialPerformance': {'min': 4.32, 'avg': 10.916022727272722, 'max': 20.23}, 'peerEnvironmentPerformance': {'min': 3.57, 'avg': 10.513977272727272, 'max': 22.18}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 2.102272727272727, 'max': 4.0}, 'percentile': {'raw': 34.34, 'fmt': '34'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': True, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
CTSH,Cognizant,"{'maxAge': 86400, 'totalEsg': {'raw': 14.38, 'fmt': '14.4'}, 'environmentScore': {'raw': 1.11, 'fmt': '1.1'}, 'socialScore': {'raw': 7.64, 'fmt': '7.6'}, 'governanceScore': {'raw': 5.63, 'fmt': '5.6'}, 'ratingYear': 2022, 'ratingMonth': 8, 'highestControversy': 2.0, 'peerCount': 105, 'esgPerformance': 'UNDER_PERF', 'peerGroup': 'Software & Services', 'relatedControversy': ['Employee Incidents', 'Customer Incidents', 'Business Ethics Incidents'], 'peerEsgScorePerformance': {'min': 9.71, 'avg': 17.753523809523806, 'max': 32.54}, 'peerGovernancePerformance': {'min': 3.83, 'avg': 6.586407766990292, 'max': 11.84}, 'peerSocialPerformance': {'min': 3.87, 'avg': 9.547378640776701, 'max': 21.01}, 'peerEnvironmentPerformance': {'min': 0.01, 'avg': 1.6194174757281556, 'max': 5.45}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.4857142857142858, 'max': 4.0}, 'percentile': {'raw': 8.9, 'fmt': '9'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
CL,Colgate-Palmolive,"{'maxAge': 86400, 'totalEsg': {'raw': 22.12, 'fmt': '22.1'}, 'environmentScore': {'raw': 6.06, 'fmt': '6.1'}, 'socialScore': {'raw': 9.35, 'fmt': '9.4'}, 'governanceScore': {'raw': 6.72, 'fmt': '6.7'}, 'ratingYear': 2022, 'ratingMonth': 8, 'highestControversy': 3.0, 'peerCount': 28, 'esgPerformance': 'AVG_PERF', 'peerGroup': 'Household Products', 'relatedControversy': ['Society & Community Incidents'], 'peerEsgScorePerformance': {'min': 17.11, 'avg': 24.862500000000004, 'max': 35.23}, 'peerGovernancePerformance': {'min': 5.56, 'avg': 7.478214285714286, 'max': 9.97}, 'peerSocialPerformance': {'min': 4.89, 'avg': 8.957142857142857, 'max': 13.15}, 'peerEnvironmentPerformance': {'min': 4.56, 'avg': 8.428214285714287, 'max': 12.52}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.75, 'max': 3.0}, 'percentile': {'raw': 32.7, 'fmt': '33'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': True, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
CMCSA,Comcast,"{'maxAge': 86400, 'totalEsg': {'raw': 24.76, 'fmt': '24.8'}, 'environmentScore': {'raw': 4.56, 'fmt': '4.6'}, 'socialScore': {'raw': 12.11, 'fmt': '12.1'}, 'governanceScore': {'raw': 8.09, 'fmt': '8.1'}, 'ratingYear': 2022, 'ratingMonth': 8, 'highestControversy': 2.0, 'peerCount': 64, 'esgPerformance': 'AVG_PERF', 'peerGroup': 'Telecommunication Services', 'relatedControversy': ['Employee Incidents', 'Customer Incidents', 'Business Ethics Incidents'], 'peerEsgScorePerformance': {'min': 11.96, 'avg': 22.633437499999996, 'max': 42.07}, 'peerGovernancePerformance': {'min': 3.26, 'avg': 6.866271186440678, 'max': 8.62}, 'peerSocialPerformance': {'min': 4.64, 'avg': 10.711694915254238, 'max': 16.78}, 'peerEnvironmentPerformance': {'min': 1.57, 'avg': 4.346610169491526, 'max': 9.21}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.875, 'max': 5.0}, 'percentile': {'raw': 43.16, 'fmt': '43'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
CMA,Comerica,"{'maxAge': 86400, 'totalEsg': {'raw': 25.97, 'fmt': '26.0'}, 'environmentScore': {'raw': 2.31, 'fmt': '2.3'}, 'socialScore': {'raw': 10.99, 'fmt': '11.0'}, 'governanceScore': {'raw': 12.66, 'fmt': '12.7'}, 'ratingYear': 2023, 'ratingMonth': 1, 'highestControversy': 2.0, 'peerCount': 107, 'esgPerformance': 'AVG_PERF', 'peerGroup': 'Banks', 'relatedControversy': ['Product & Service Incidents', 'Business Ethics Incidents'], 'peerEsgScorePerformance': {'min': 11.06, 'avg': 23.864018691588782, 'max': 44.12}, 'peerGovernancePerformance': {'min': 5.71, 'avg': 11.464285714285719, 'max': 19.41}, 'peerSocialPerformance': {'min': 3.82, 'avg': 9.882346938775513, 'max': 21.27}, 'peerEnvironmentPerformance': {'min': 0.14, 'avg': 1.7023469387755101, 'max': 3.5}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.897196261682243, 'max': 4.0}, 'percentile': {'raw': 49.09, 'fmt': '49'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
CAG,Conagra Brands,"{'maxAge': 86400, 'totalEsg': {'raw': 31.73, 'fmt': '31.7'}, 'environmentScore': {'raw': 10.96, 'fmt': '11.0'}, 'socialScore': {'raw': 15.89, 'fmt': '15.9'}, 'governanceScore': {'raw': 4.88, 'fmt': '4.9'}, 'ratingYear': 2023, 'ratingMonth': 1, 'highestControversy': 2.0, 'peerCount': 67, 'esgPerformance': 'OUT_PERF', 'peerGroup': 'Food Products', 'relatedControversy': ['Operations Incidents', 'Employee Incidents', 'Social Supply Chain Incidents', 'Customer Incidents', 'Society & Community Incidents', 'Public Policy Incidents'], 'peerEsgScorePerformance': {'min': 13.54, 'avg': 29.17402985074627, 'max': 48.89}, 'peerGovernancePerformance': {'min': 3.82, 'avg': 6.348923076923077, 'max': 11.66}, 'peerSocialPerformance': {'min': 4.15, 'avg': 10.969538461538457, 'max': 20.23}, 'peerEnvironmentPerformance': {'min': 4.53, 'avg': 11.50630769230769, 'max': 22.18}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 2.014925373134328, 'max': 4.0}, 'percentile': {'raw': 71.05, 'fmt': '71'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
COP,ConocoPhillips,"{'maxAge': 86400, 'totalEsg': {'raw': 34.86, 'fmt': '34.9'}, 'environmentScore': {'raw': 17.29, 'fmt': '17.3'}, 'socialScore': {'raw': 9.71, 'fmt': '9.7'}, 'governanceScore': {'raw': 7.87, 'fmt': '7.9'}, 'ratingYear': 2022, 'ratingMonth': 8, 'highestControversy': 2.0, 'peerCount': 65, 'esgPerformance': 'OUT_PERF', 'peerGroup': 'Oil & Gas Producers', 'relatedControversy': ['Operations Incidents', 'Product & Service Incidents', 'Society & Community Incidents'], 'peerEsgScorePerformance': {'min': 8.24, 'avg': 37.75061538461538, 'max': 55.01}, 'peerGovernancePerformance': {'min': 4.73, 'avg': 8.420169491525424, 'max': 13.92}, 'peerSocialPerformance': {'min': 2.04, 'avg': 10.43508474576271, 'max': 19.55}, 'peerEnvironmentPerformance': {'min': 0.12, 'avg': 18.795593220338983, 'max': 26.75}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 2.0615384615384613, 'max': 5.0}, 'percentile': {'raw': 78.39, 'fmt': '78'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
ED,Consolidated Edison,"{'maxAge': 86400, 'totalEsg': {'raw': 23.09, 'fmt': '23.1'}, 'environmentScore': {'raw': 7.46, 'fmt': '7.5'}, 'socialScore': {'raw': 9.34, 'fmt': '9.3'}, 'governanceScore': {'raw': 6.29, 'fmt': '6.3'}, 'ratingYear': 2023, 'ratingMonth': 1, 'highestControversy': 3.0, 'peerCount': 91, 'esgPerformance': 'AVG_PERF', 'peerGroup': 'Utilities', 'relatedControversy': ['Customer Incidents'], 'peerEsgScorePerformance': {'min': 8.44, 'avg': 29.322527472527483, 'max': 69.69}, 'peerGovernancePerformance': {'min': 3.36, 'avg': 6.387906976744186, 'max': 9.93}, 'peerSocialPerformance': {'min': 2.71, 'avg': 10.069767441860462, 'max': 34.78}, 'peerEnvironmentPerformance': {'min': 1.27, 'avg': 12.562209302325577, 'max': 28.57}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.6373626373626373, 'max': 5.0}, 'percentile': {'raw': 37.25, 'fmt': '37'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
STZ,Constellation Brands,"{'maxAge': 86400, 'totalEsg': {'raw': 25.79, 'fmt': '25.8'}, 'environmentScore': {'raw': 10.35, 'fmt': '10.4'}, 'socialScore': {'raw': 10.04, 'fmt': '10.0'}, 'governanceScore': {'raw': 5.4, 'fmt': '5.4'}, 'ratingYear': 2022, 'ratingMonth': 8, 'highestControversy': 2.0, 'peerCount': 88, 'esgPerformance': 'AVG_PERF', 'peerGroup': 'Food Products', 'relatedControversy': ['Operations Incidents', 'Business Ethics Incidents'], 'peerEsgScorePerformance': {'min': 13.55, 'avg': 27.763636363636376, 'max': 48.96}, 'peerGovernancePerformance': {'min': 3.88, 'avg': 6.332840909090908, 'max': 11.73}, 'peerSocialPerformance': {'min': 4.32, 'avg': 10.916022727272722, 'max': 20.23}, 'peerEnvironmentPerformance': {'min': 3.57, 'avg': 10.513977272727272, 'max': 22.18}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 2.102272727272727, 'max': 4.0}, 'percentile': {'raw': 47.2, 'fmt': '47'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': True, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
CEG,Constellation Energy,
COO,CooperCompanies,"{'maxAge': 86400, 'totalEsg': {'raw': 19.5, 'fmt': '19.5'}, 'environmentScore': {'raw': 2.7, 'fmt': '2.7'}, 'socialScore': {'raw': 10.76, 'fmt': '10.8'}, 'governanceScore': {'raw': 6.03, 'fmt': '6.0'}, 'ratingYear': 2023, 'ratingMonth': 1, 'highestControversy': 2.0, 'peerCount': 37, 'esgPerformance': 'UNDER_PERF', 'peerGroup': 'Healthcare', 'relatedControversy': ['Customer Incidents'], 'peerEsgScorePerformance': {'min': 12.12, 'avg': 22.57351351351351, 'max': 34.71}, 'peerGovernancePerformance': {'min': 5.16, 'avg': 7.776944444444447, 'max': 10.63}, 'peerSocialPerformance': {'min': 5.59, 'avg': 12.131111111111114, 'max': 21.44}, 'peerEnvironmentPerformance': {'min': 0.07, 'avg': 2.641666666666666, 'max': 5.39}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.6486486486486487, 'max': 4.0}, 'percentile': {'raw': 24.18, 'fmt': '24'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': True, 'catholic': True, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
CPRT,Copart,"{'maxAge': 86400, 'totalEsg': {'raw': 18.05, 'fmt': '18.0'}, 'environmentScore': {'raw': 1.61, 'fmt': '1.6'}, 'socialScore': {'raw': 11.03, 'fmt': '11.0'}, 'governanceScore': {'raw': 5.41, 'fmt': '5.4'}, 'ratingYear': 2023, 'ratingMonth': 1, 'highestControversy': 1.0, 'peerCount': 29, 'esgPerformance': 'UNDER_PERF', 'peerGroup': 'Commercial Services', 'relatedControversy': ['Operations Incidents', 'Customer Incidents'], 'peerEsgScorePerformance': {'min': 7.15, 'avg': 16.29137931034483, 'max': 25.76}, 'peerGovernancePerformance': {'min': 2.91, 'avg': 5.066785714285714, 'max': 8.17}, 'peerSocialPerformance': {'min': 1.57, 'avg': 8.7475, 'max': 18.63}, 'peerEnvironmentPerformance': {'min': 0.01, 'avg': 2.409642857142857, 'max': 15.12}, 'peerHighestControversyPerformance': {'min': 0.0, 'avg': 1.4137931034482758, 'max': 4.0}, 'percentile': {'raw': 19.32, 'fmt': '19'}, 'environmentPercentile': None, 'socialPercentile': None, 'governancePercentile': None, 'adult': False, 'alcoholic': False, 'animalTesting': False, 'catholic': False, 'controversialWeapons': False, 'smallArms': False, 'furLeather': False, 'gambling': False, 'gmo': False, 'militaryContract': False, 'nuclear': False, 'pesticides': False, 'palmOil': False, 'coal': False, 'tobacco': False}"
